*** GreHack2017's cheap OTP values ***

OTP serial: Dut4QkYt
First hash from OTP serial: B08958EBBE8C1ABF52AD7FE620712B6A13DD15FBF25D1C51E10D423BCB465341
XOR constant for display: EB59361FC336E24BEA27
Round 000: 763FB5AB380F51486ADEC9BAA0EE4CF4C5C6F718E4986FE55BCEEAF317C37FF7 9D6683B4FB39B30380F9 bybyrfxdyp  <-- Start at 21H30
Round 001: B2A4EE745B3B560075C30452E3A9CF0E1FB930A660443A9B86D9F54B6BC704D3 59FDD86B980DB44B9FE4 ltidwnyxdu
Round 002: 16850858802797864880423FA09107759DDDFC597671CFD06601229058BB5942 FDDC3E47431175CDA2A7 tmktprnxgl
Round 003: B18F9ECBE661C914CBD950F7368DDDE9C7163E23B64124E7A653EAD6AF84FD19 5AD6A8D425572B5F21FE mgmeljrrhu
Round 004: 69A11621E46B1DF1552462939C7F7A72397D9AC378D0ED7C7483395BD0CE24D4 82F8203E275DFFBABF03 aogknpvejd
Round 005: BF4AFC8746CDBFDB2B8DADE48F7CADD715443CC5EBEEE76A249B9B6E54DB494A 5413CA9885FB5D90C1AA gtuwdrpolo
Round 006: A98922DA9C1CA6323BC11B9EB806BD0D3EFACCDDC9C1C99BAFF4CD2C6275DD30 42D014C55F2A4479D1E6 oauprqqrbw
Round 007: 5DC34BB147E786D5F325712A4D5F9E94AA153D85257D90A1A2925EF84EFD9117 B69A7DAE84D1649E1902 ayvscbwczc
Round 008: D67A5ED154262747DF55C37132CB0B7104E0886C0378763557C207CA426DE100 3D2368CE9710C50C3572 jjayvqpmbk
Round 009: 1AB51F1C65A72722DB24A996079A80CD24D73C2D59B8553DE58EAFE17043DEBD F1EC2903A691C5693103 hcpdkppbxd
Round 010: 606EACA715C80721A9B3FC2DB1FE32D7557529C85A3CBA55D5FD1906B68D787D 8B379AB8D6FEE56A4394 jdycguvcps
Round 011: B2E63B53E632D7F3A1FCD24CB88687F7AB15C77E9363FA955CA6D2649D8E078D 59BF0D4C250435B84BDB ljnylebcxl
Round 012: 17654ED46615E01AFA8D57EEFC6F7DA6267275C036C3D9809BC5B6128D440421 FC3C78CBA523025110AA siqvjjcdqo
Round 013: A600624A5E95A5F0C09A7115D9FA72058C66DFA93A7EFDA8E16473BDE2C631D6 4D5954559DA347BB2ABD zlghbhtfqh
Round 014: B3F4F0015956BB6F71BE5452DBF51E7FFD10AB17603980DE3D265367E20AD2B0 58ADC61E9A6059249B99 krqeyslkzx
Round 015: 1A823409B8D728DE2C4E7CDA071E7AB483D7CE1C006DE489D8355A971461D184 F1DB02167BE1CA95C669 hlcwtrutqb
Round 016: D5F441A71ECD2D8EB28C9499F758A3F230E50175FC75531A76FB1B9586CC0E91 3EAD77B8DDFBCFC558AB krpcnrzpkp
Round 017: 0B82F8F82F8519D91E375772275573B0BFE0671D295322CC06FF5521EBAE367A E0DBCEE7ECB3FB92F410 qlyxcxrqkq
Round 018: E7E9F1DED24063405436075F51FB664DF7DC8F7564FA5763379E65363ED2FFC7 0CB0C7C11176810BBE11 murlrozlir
Round 019: 6609C7ED374FEF157525ECD5C28200C3144F85392B91B17FD3A16C9D5661B656 8D50F1F2F4790D5E9F02 lchikrnqdc
Round 020: 48F919BC0DE177AC11365B4B82CE0F2C978162988D33F44818A55ADC0DE96187 A3A02FA3CED795E7FB11 hevhyhtxrr
Round 021: 89A6D902508160498981FED1FC1EBA563BC06280C7CA283B9DE5EBF1E3E23E13 62FFEF1D93B7820263A6 uvfdrbacvk
Round 022: 4D6E19635CC28E36E657E833630C1A6C01A8BF39C0B5954DF3B30DE9D478B888 A6372F7C9FF46C7D0C70 kdvudkevmi
Round 023: FC0597AB305A4D68975A68E671E76F49EB94BB51FC96CC9EA8018B668087F2BD 175CA1B4F36CAF237D7D xofyjetjvv
Round 024: AC8B92987959FDDF35E6A3208D67C590380E0B4905DEB20F831A98EC120F84F6 47D2A487BA6F1F94DFC1 tcifehfspl
Round 025: D071054E153F8251133141C4B9B97C1C93644AD19E6A53D051E5114741025E4E 3B283351D609601AF916 hozdgjsapw
Round 026: 8238C2911CC2A0C037796910F9A500B6016E2219500381BC9DAA66C0BCA7D75F 6961F48EDFF4428BDD5E btkmpkojnq
Round 027: 982E8F0D625C4A0837348EE5C1AF9F96098F097A382020E0D29686C07B8B21BB 7377B912A16AA843DD13 lpdsfcmpnt
Round 028: 31636ECDD0D61019B4F7A50CB27FEBCC63394E362C641BB32F9B56FE5AC3F2F5 DA3A58D213E0F2525ED0 kgkctqieqa
Round 029: 956DEBDB9CE6CD67B4994F65B1B75481D3E605A5E55C83AA29BBA03596152F12 7E34DDC45FD02F2C5EBE wanoravsqi
Round 030: 1DBEC333816F3B57CB2440245F58EBD385FD095A79B1E6BAC7D15F75EE21BCD8 F6E7F52C4259D91C2103 mxlsoljchd
Round 031: F1D2C5D8B9CD508FAF520BB244676C5B825D3213B4833BAEFBA1FBC35E3B36DB 1A8BF3C77AFBB2C44575 ajjrsrworn
Round 032: A847B7ABB7B0A0DC73D81C1A1242AF72D3A903535B3FB23ABE478A50A856452F 431E81B47486429799FF pezymeovxv
Round 033: 69427FEEC906E2AE24A6D9745B4473DE8C80E9A796BE9BDDF05329793C945270 821B49F10A3000E5CE81 abvhkwavyz
Round 034: D038534E6A51C8756D055F765B982A1EE73F9F9E907DF1F28A6AC525056C9AD4 3B616551A9672A3E8722 htxdnzqkfi
Round 035: 281BFF5853746F7F231F1A72EDAD4E5EBF2DF31209716BAEF1914BFAA89DA85A C342C94790428D34C938 nottoolate  <-- Flag 06H15
Round 036: 230A9673D31E60D127F034748F2F623B5F68F39A58352EB247B5BF283C5122D0 C853A06C1028829ACDD7 sfeeqoayxh
Round 037: 58E67B6A07E64088F96361984DAD0019A4A8B8D769CB25385DE6D753796FE594 B3BF4D75C4D0A2C31344 xjznoagntq
Round 038: A209537305895781050BD96CF4FB929067FFB103EA58494E8C4BCDD92DE2CAA0 4950656CC6BFB5CAEF2C vcxeqjzufs
Round 039: 3334C8B6CA28F7CD69CD7E550922D0340CE404C3C94B23EC11B1CA6F697D579D D86DFEA9091E158683EA ifunjeveba
cst2 = \xEB\x59\x36\x1F\xC3\x36\xE2\x4B\xEA\x27
